"time{s}","DiscreteIntegral\input","DiscreteIntegral\output","DiscreteIntegral1\input","DiscreteIntegral1\output","accelerometer_y","accelerometer_z","encoder_L","encoder_R","fb_input","gyro_x","lr_input","mux_out[1]","mux_out[2]","mux_out[5]","mux_out[6]","fallen_down"
0.639,-0.0576076459518885,0,-0.033573647480137,0,0.00878933072908719,-0.499526963103122,0.54876708997152,0.921081543183206,0,0.00445570238349559,0,-1.54043474264069,-7.25919926482806e-005,0.0120169992358758,0.0455906467160128,1
0.64,-0.0574073739790989,0,-0.0326907212136973,0,0.0102542191839351,-0.503921628467666,0.548400879033935,0.922058105683433,0,-0.00775170140690329,0,-1.54043700773341,-4.49411500982741e-005,0.0123583263827008,0.0450490475963981,1
0.641,-0.0567665976703083,0,-0.0339075512058968,0,0.0151371807000946,-0.508804589983825,0.548278808721406,0.92346191427751,0,-0.00378429517502365,0,-1.54044677325616,-8.04254138757646e-005,0.0114295232322057,0.0453370744381025,1
0.642,-0.05624176249593,0,-0.0331399305072999,0,0.011230811487167,-0.504898220770898,0.547973632940085,0.924438476777738,0,-0.00598162785729545,0,-1.54046910614179,-8.72671227004134e-006,0.011550915994315,0.0446908465016149,1
0.643,-0.0561339556736793,0,-0.0339196797741264,0,0.0146488845484787,-0.507339701528977,0.547546386846236,0.92578125021555,0,-0.000305185094759972,0,-1.54049584390764,2.43571644670173e-005,0.0111071379497765,0.0450268177239029,1
0.644,-0.0555012494291811,0,-0.0332875823727917,0,0.0131839960936308,-0.505386516922513,0.547424316533707,0.926879883028306,0,0.00238044373912778,0,-1.54052549020923,7.4253936122221e-005,0.0111068335281947,0.0443944159009864,1
0.645,-0.0559632799679537,0,-0.0332403422532228,0,0.0141605883968627,-0.508804589983825,0.54718017590865,0.92810058615359,0,0.00170903653065584,0,-1.54055829040544,7.22122593011667e-005,0.0113614688573655,0.0446018111105882,1
0.646,-0.0551531253936262,0,-0.0333323556755862,0,0.0170903653065584,-0.509781182287057,0.546875000127329,0.92926025412261,0,-0.00970488601336711,0,-1.54059169934377,4.72091116844122e-005,0.01091038485902,0.0442427405346062,1
0.647,-0.0549432897949204,0,-0.0334185877241137,0,0.0175786614581744,-0.502456740012818,0.546691894658537,0.930358886935366,0,-0.000793481246375927,0,-1.54062624020204,2.95493964484812e-005,0.0107623510354033,0.044180938759517,1
0.648,-0.0548173075773715,0,-0.0332268309378797,0,0.0224616229743339,-0.515152439954833,0.54644775403348,0.93157959006065,0,6.10370189519944e-005,0,-1.54065742196565,0.000111130724663943,0.0107952383197459,0.0440220692576256,1
0.649,-0.0542349383788727,0,-0.0331834079435431,0,0.0146488845484787,-0.500503555406354,0.546264648564687,0.932617187717142,0,0.00122074037903989,0,-1.54068128497923,0.000110970147816883,0.0105257652176648,0.0437091731612079,1
0.65,-0.0540927335957438,0,-0.0332789986540864,0,0.0161137730033265,-0.506363109225745,0.54602050793963,0.933959961154955,0,0.00164799951170385,0,-1.54069248636377,0.000103472920677221,0.0104068674708287,0.0436858661249151,1
0.651,-0.0534071854865989,0,-0.0330960125077907,0,0.0209967345194861,-0.504898220770898,0.545837402470838,0.934936523655182,0,0.00579851680043947,0,-1.54069538058362,8.64761829948015e-005,0.0101555864894041,0.0432515989971948,1
0.652,-0.0535798603545855,0,-0.0334696651508714,0,0.0136722922452467,-0.503921628467666,0.545410156376988,0.936157226780466,0,0.00689718314157537,0,-1.54069753199383,6.68740120204123e-005,0.010055097601857,0.0435247627527284,1
0.653,-0.0527621196876086,0,-0.0331384137175842,0,0.011230811487167,-0.510757774590289,0.545593261845781,0.937316894749486,0,0.000366222113711966,0,-1.54069178069827,1.28193178386112e-005,0.00981185298501215,0.0429502667025964,1
0.654,-0.0530795034613281,0,-0.0328279754256826,0,0.0166020691549425,-0.501480147709586,0.544982910283139,0.938354492405978,0,-0.00585955381939146,0,-1.5406815177264,-4.72848278406849e-005,0.0101257640178228,0.0429537394435054,1
0.655,-0.0519184834079254,0,-0.0337636107660427,0,0.0136722922452467,-0.512710959196753,0.544921875126875,0.939514160374998,0,0.00695822016052736,0,-1.54067860242768,-4.74624371853294e-005,0.00907743632094132,0.0428410470869841,1
0.656,-0.0523680864863718,0,-0.032596178038975,0,0.0131839960936308,-0.51661732840968,0.544799804814346,0.940734863500282,0,0.00238044373912778,0,-1.54067894631856,5.8973588952176e-006,0.0098859542236984,0.0424821322626734,1
0.657,-0.0517559887911168,0,-0.0330012362079605,0,0.00878933072908719,-0.504898220770898,0.544433593876761,0.941955566625566,0,-0.0103152562028871,0,-1.54067954438888,-5.42966343934541e-005,0.00937737629157819,0.0423786124995387,1
0.658,-0.0514835227924914,0,-0.0333808438215867,0,0.0126956999420148,-0.506363109225745,0.544433593876761,0.942993164282058,0,0.00231940672017579,0,-1.54068482214967,-7.13509937893128e-005,0.00905133948545234,0.0424321833070391,1
0.659,-0.0518519340863437,0,-0.0331914585546907,0,0.0136722922452467,-0.505386516922513,0.544372558720497,0.944274902563606,0,0.00720236823633534,0,-1.54069982630257,2.18177640872157e-005,0.00933023776582654,0.0425216963205172,1
