"time{s}","accelerometer_y","accelerometer_z","encoder_L","encoder_R","gyro_x","mux_out[1]","mux_out[2]","mux_out[3]","mux_out[4]","mux_out[5]","mux_out[6]","fallen_down"
0,0.496597186193426,0.125003814813685,0.055297851575375,0.13378906253115,0.00573747978148747,0,0,0,0,0,0,0
0.001,0.515152439954833,0.0161137730033265,0.158874511755741,0.966064453349929,0.0101321451460311,0,0,0,0,-0.059865408565898,0.144810526344956,0
0.002,0.513687551499985,0.0175786614581744,0.158935546912005,0.966247558818722,-0.00567644276253548,4.85239594506259e-005,-4.93281089675372e-005,0,0,-0.22821496494898,0.0992319029264635,0
0.003,0.496597186193426,0.0190435499130222,0.158813476599477,0.966247558818722,-0.000122074037903989,0.000145236031725534,-0.000133340073840783,0,0,-0.326500996363164,-0.0881738285152436,0
0.004,0.511734366893521,0.0205084383678701,0.158813476599477,0.966186523662458,-0.000488296151615955,0.000242592568431721,-7.61587280617756e-005,0,0,-0.306536190094148,-0.0825953157421924,0
0.005,0.484389782403027,0.0200201422162542,0.158813476599477,0.966125488506194,-0.00933866389965514,0.000350541060722035,-7.03239998167114e-005,0,0,-0.287729365244946,-0.0776287349529354,0
0.006,0.537125766777551,-0.0209967345194861,0.158874511755741,0.966003418193665,0.00122074037903989,0.00046642603165293,-6.17072756593994e-005,0,0,-0.270186543971068,-0.0730169698585694,0
0.007,0.476088747825556,0.0166020691549425,0.15856933597442,0.966247558818722,0.0100711081270791,0.000590442759379761,2.24592756697098e-005,0,0,-0.253781119066604,-0.0687548663303911,0
0.008,0.531754509109775,0.0727561265907773,0.158813476599477,0.966125488506194,0.00958281197546312,0.000711251414897331,1.05527754272131e-005,0,0,-0.23807391105367,-0.0644512321632957,0
0.009,0.494644001586962,0.087405011139256,0.158813476599477,0.966064453349929,0.00225836970122379,0.000821984059217657,-7.66968492594573e-005,0,0,-0.223534183157386,-0.0604221932065764,0
0.01,0.56984160893582,-0.00292977690969573,0.158752441443212,0.966125488506194,0.00628681295205542,0.000952896959639684,-0.000154266281413838,0,0,-0.210198630208304,-0.056957038460661,0
0.011,0.514175847651601,0.0522476882229072,0.158752441443212,0.966125488506194,-0.00158696249275185,0.00113037524955663,-0.000163989828403121,0,0,-0.197340068681221,-0.0534997239053815,0
0.012,0.50099185155797,0.0751976073488571,0.158996582068269,0.966003418193665,0.00274666585283975,0.00132738476266398,-0.000207737056617247,0,0,-0.185258985127731,-0.0501811145160311,0
0.013,0.472182378612629,0.0605487228003784,0.158874511755741,0.966186523662458,0.0021973326822718,0.00152581563087632,-0.000181040607364731,0,0,-0.17423884665575,-0.0472575230790494,0
0.014,0.507339701528977,0.00683614612262337,0.158935546912005,0.966186523662458,0.00262459181493576,0.00176012396721783,-0.000193280010773178,0,0,-0.163763563245809,-0.0443194936801303,0
0.015,0.50587481307413,0.010742515335551,0.158752441443212,0.966064453349929,0.0133671071504868,0.00203055299121842,-0.000200027485734896,0,0,-0.153727986372062,-0.0414280830752872,0
0.016,0.492690816980499,0.0185552537614063,0.158752441443212,0.966003418193665,-0.00140385143589587,0.00230814983740206,-0.000210024374157945,0,0,-0.144254388553225,-0.0390598455196887,0
0.017,0.529313028351695,0.0209967345194861,0.159179687537062,0.966125488506194,0.00909451582384716,0.00257116155997574,-0.000311752152091386,0,0,-0.135285653175485,-0.0368957599096207,0
0.018,0.505386516922513,0.0180669576097903,0.158691406286948,0.965942383037401,0.00128177739799188,0.00281937082212075,-0.000280094542992817,0,0,-0.12751743614011,-0.0345927269398479,0
0.019,0.517593920712912,0.0244148075807978,0.158996582068269,0.966125488506194,-0.00384533219397565,0.00306539416562004,-0.000340685984205994,0,0,-0.119697865025749,-0.032566082693465,0
0.028,0.513199255348369,0.0229499191259499,0.158996582068269,0.965942383037401,-0.00811792352061525,0.00506828988964407,-0.000492400673181248,0,0,-0.0680045351186577,-0.0185389790439652,0
0.037,0.510757774590289,0.0190435499130222,0.158935546912005,0.965881347881137,-0.000854518265327921,0.00683834249392832,-0.000379474822172695,0,0,-0.0390670147809584,-0.0108878124320936,0
0.046,0.515152439954833,0.0180669576097903,0.158996582068269,0.965881347881137,0.00695822016052736,0.00837105452608856,-0.000645170129799662,0,0,-0.0223014024254225,-0.00644121395837795,0
0.054,0.513199255348369,0.0229499191259499,0.159362793005855,0.965698242412344,0.00958281197546312,0.00947464573036669,-0.000550880923672122,0,0,-0.0137713191746885,-0.00397255769307453,0
