"time{s}","accelerometer_y","accelerometer_z","encoder_L","encoder_R","gyro_x","mux_out[1]","mux_out[2]","mux_out[3]","mux_out[4]","mux_out[5]","mux_out[6]","fallen_down"
0.669,0.514664143803217,0.0288094729453414,0.100280761742098,0.788085937683491,-0.0157475508896146,0.0373838723919966,0.00305389970872848,0,0,0.00185174185299689,0.0017353584505653,0
0.67,0.511246070741905,0.0341807306131169,0.100280761742098,0.788330078308547,-0.000366222113711966,0.0376675561643984,0.00299320931010263,0,0,0.00141517401245719,0.00157014893696239,0
0.671,0.512710959196753,0.0263679921872616,0.0999145508045132,0.788269043152283,-0.0209967345194861,0.0379460731685271,0.00294053033861952,0,0,0.00137924260946639,0.00152477676285704,0
0.672,0.515640736106449,0.032227546006653,0.10015869142957,0.788146972839755,-0.0144657734916227,0.0382232691487965,0.00275891997113028,0,0,0.00168380144346411,0.00162226858192177,0
0.673,0.515640736106449,0.0273445844904935,0.100036621117042,0.788024902527226,-0.00793481246375927,0.0384898259455015,0.0027660918050039,0,0,0.00172671846569198,0.00133859847104729,0
0.674,0.513687551499985,0.032715842158269,0.10015869142957,0.788330078308547,-0.0160527359843745,0.0387567921991094,0.00271666293778099,0,0,0.00148309321397931,0.000986482496704738,0
0.675,0.515152439954833,0.0268562883388775,0.100036621117042,0.788330078308547,-0.0236213263344218,0.0390207792513938,0.00261418969639661,0,0,0.00138886121208104,0.00112070441148434,0
0.676,0.513687551499985,0.0297860652485733,0.100097656273306,0.788330078308547,-0.0206305124057741,0.0392785509842753,0.00258794906517658,0,0,0.00132390312792916,0.00140241751370358,0
0.677,0.515640736106449,0.0253913998840297,0.100219726585834,0.78851318377734,-0.00799584948271126,0.0395346940281366,0.0026284283039097,0,0,0.00133570686187737,0.00134337118482968,0
0.678,0.512710959196753,0.0302743614001892,0.0999145508045132,0.788391113464812,-0.0173345133823664,0.0397922382764614,0.00264065056834516,0,0,0.00105894010937444,0.00146254025115464,0
0.679,0.513687551499985,0.0258796960356456,0.0999755859607774,0.788330078308547,-0.0172124393444624,0.0400487840732227,0.00254347809210549,0,0,0.00119047893882109,0.00143735830644129,0
0.68,0.516129032258065,0.0312509537034211,0.099853515648249,0.788391113464812,-0.0152592547379986,0.0402976014407638,0.00253270051146695,0,0,0.00139389806067712,0.00116326818361709,0
0.681,0.520035401470992,0.0292977690969573,0.0999755859607774,0.788208007996019,0.00170903653065584,0.040544451209943,0.00252155057195821,0,0,0.00138354065772785,0.00110089318533109,0
0.682,0.511734366893521,0.0361339152195807,0.0996704101794563,0.788391113464812,-0.032166508987701,0.0407895990117275,0.00249430865607681,0,0,0.00127933657135447,0.000881773195321317,0
0.683000000000001,0.512222663045137,0.032715842158269,0.0999755859607774,0.78851318377734,-0.0227668080690939,0.0410331667054073,0.00232289314181556,0,0,0.00140514519173971,0.000833599246431681,0
0.684000000000001,0.513687551499985,0.0302743614001892,0.099853515648249,0.788574218933604,-0.0233161412396619,0.0412678636595859,0.00245349373171573,0,0,0.00136173532543584,0.00115534244337678,0
0.685000000000001,0.509781182287057,0.0346690267647328,0.0997924804919847,0.788635254089868,-0.0123905148472549,0.0415141999446686,0.00249507430857212,0,0,0.00110924037645423,0.00131182326200433,0
0.686000000000001,0.515640736106449,0.0283211767937254,0.100036621117042,0.78851318377734,-0.011169774468215,0.0417638533751744,0.00253876520478291,0,0,0.00125279932432826,0.00137697413525109,0
0.687000000000001,0.517105624561296,0.0288094729453414,0.099853515648249,0.788574218933604,-0.0173345133823664,0.0420176086580779,0.00248577760713741,0,0,0.00097292564965835,0.00122167021066835,0
0.688000000000001,0.508316293832209,0.0366222113711966,0.0999145508045132,0.788635254089868,-0.0286873989074374,0.0422683255073915,0.00242562397610829,0,0,0.000849678609590288,0.00108327013552716,0
0.689000000000001,0.510269478438673,0.04345835749382,0.0997924804919847,0.788635254089868,-0.0281991027558214,0.0425130367214437,0.00242225138796999,0,0,0.000958381227424791,0.00117774281172617,0
0.690000000000001,0.513199255348369,0.0346690267647328,0.0996093750231921,0.788696289246133,-0.0247199926755577,0.0427587837350673,0.00251669738949579,0,0,0.0010104999393268,0.00121649844237278,0
0.691000000000001,0.513199255348369,0.0283211767937254,0.0996704101794563,0.788574218933604,-0.0144657734916227,0.0430173709544591,0.0026010110367971,0,0,0.00131748794713007,0.00124666894553027,0
0.692000000000001,0.519547105319376,0.0346690267647328,0.0999145508045132,0.788635254089868,-0.00677510910367138,0.0432866680641532,0.0026501153757487,0,0,0.00138675221107548,0.00112204600813313,0
0.693000000000001,0.509781182287057,0.0366222113711966,0.0999145508045132,0.788818359558661,-0.010742515335551,0.0435580613128159,0.00260797352248854,0,0,0.000962324540997509,0.000978012201645147,0
0.694000000000001,0.513199255348369,0.04345835749382,0.0997314453357205,0.788757324402397,-0.0167851802117985,0.0438255333035343,0.00250235886325944,0,0,0.000624299520909354,0.00116756847241131,0
0.695000000000001,0.512222663045137,0.0317392498550371,0.0996704101794563,0.788757324402397,-0.0157475508896146,0.0440883082415423,0.00243749003136518,0,0,0.000784432901707483,0.00122853984577124,0
0.696000000000001,0.513199255348369,0.0380870998260445,0.0997314453357205,0.788757324402397,-0.0177007354960784,0.0443522862195105,0.00242864897293635,0,0,0.00100837959364024,0.00109509681065703,0
0.697000000000001,0.512710959196753,0.0405285805841243,0.0996093750231921,0.788818359558661,-0.0204474013489181,0.0446186490555026,0.00241144237360824,0,0,0.000955740788829036,0.00103717536157186,0
