"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.207,-0.249248782721221,-3.15000819266105,1.08849916324771,-0.0312752057834269,0.129846085687275,-1.54359253644039e-17,-0.249248782721221,-2.28500116680171e-19,-1.08849916324771,-0.0804320065989908,-0.0804320065989908
1.208,-0.25242878373452,-3.18000101329902,1.09963107533946,-0.0315691332457778,0.129772762748308,-1.55689757723543e-17,-0.25242878373452,-2.33076259604729e-19,-1.09963107533946,-0.0809481805221541,-0.0809481805221541
1.209,-0.255638974046628,-3.21019031210792,1.11082422054281,-0.0318642945170141,0.129697822865352,-1.55739232570565e-17,-0.255638974046628,-2.37673078672918e-19,-1.11082422054281,-0.0814652656754452,-0.0814652656754452
1.21,-0.258879549663124,-3.24057561649273,1.12207855713022,-0.0321606881441869,0.129621236078853,-1.55689757471248e-17,-0.258879549663124,-2.4228762376738e-19,-1.12207855713022,-0.081983223425168,-0.081983223425168
1.21,-0.258879549663124,-3.24057561649273,1.12207855713022,-0.0321606881441869,0.129621236078853,-1.55689757471248e-17,-0.258879549663124,-2.4228762376738e-19,-1.12207855713022,-0.081983223425168,-0.081983223425168
1.211,-0.26215070606154,-3.27115639841539,1.13339403682927,-0.0324583127287638,0.129542972022128,-1.57669703201632e-17,-0.26215070606154,-2.4698027987798e-19,-1.13339403682927,-0.0825020137672617,-0.0825020137672617
1.212,-0.265452638135199,-3.30193207365918,1.14477060463338,-0.0327571669285422,0.129462999920673,-1.57264004235369e-17,-0.265452638135199,-2.51680180383737e-19,-1.14477060463338,-0.0830215953086763,-0.0830215953086763
1.213,-0.268785540136322,-3.33290200112326,1.15620819860984,-0.0330572494595855,0.129381288591673,-1.58702217561083e-17,-0.268785540136322,-2.56442581329393e-19,-1.15620819860984,-0.0835419252492272,-0.0835419252492272
1.214,-0.272149605618472,-3.36406548214984,1.16770674970548,-0.0333585590981859,0.129297806443704,-1.5929191711484e-17,-0.272149605618472,-2.61242227898269e-19,-1.16770674970548,-0.0840629593639738,-0.0840629593639738
1.215,-0.275545027378358,-3.39542175988593,1.17926618154994,-0.0336610946828499,0.129212521476644,-1.57137470059934e-17,-0.275545027378358,-2.65996168623308e-19,-1.17926618154994,-0.084584651986158,-0.084584651986158
1.216,-0.27897199739704,-3.42697001868187,1.19088641025663,-0.0339648551163079,0.129125401281798,-1.57137469916558e-17,-0.27897199739704,-2.7076938320929e-19,-1.19088641025663,-0.085106955990742,-0.085106955990742
1.217,-0.282430706780569,-3.45870938352869,1.20256734422151,-0.034269839367546,0.129036413042242,-1.56287853986337e-17,-0.282430706780569,-2.75535864050893e-19,-1.20256734422151,-0.0856298227785846,-0.0856298227785846
1.218,-0.285921345700105,-3.49063891953646,1.2143088839196,-0.0345760464738584,0.128945523533383,-1.56423921729981e-17,-0.285921345700105,-2.80325675975345e-19,-1.2143088839196,-0.0861532022612964,-0.0861532022612964
