"time{s}","TurningAngularVel\system\BodyAngle\plot{rad}","TurningAngularVel\system\BodyAngularVel\plot{rad/s}","TurningAngularVel\system\MotorLAngle\plot","TurningAngularVel\system\BodyX\input","TurningAngularVel\system\BodyY\input","TurningAngularVel\system\TurningAngle\input","TurningAngularVel\system\BodyAngle\input{rad}","TurningAngularVel\system\BodyZ\input","TurningAngularVel\system\MotorRAngle\plot","TurningAngularVel\system\WheelMass\state","TurningAngularVel\system\WheelMass1\state"
1.487,4.09867082850198e-10,8.71160600549177e-09,-2.57160677221441,6.04649787160753e-12,0.13272,-0.794592073172621,4.09867082850198e-10,5.82008124372242e-12,-2.57160677072192,0.0589599857517669,-0.0589599854084261
1.488,4.18818848383775e-10,8.95176546237256e-09,-2.58205161444254,6.35167666483517e-12,0.13272,-0.79781938961701,4.18818848383775e-10,6.13293741474997e-12,-2.58205161290483,0.059076027691496,-0.0590760273377225
1.489,4.27331434993636e-10,8.51258641425405e-09,-2.59251696935976,6.62840894013266e-12,0.13272,-0.801053044208536,4.27331434993636e-10,6.41847206786139e-12,-2.59251696778183,0.0591920474636763,-0.0591920471322927
1.49,4.37069924733056e-10,9.73848948841598e-09,-2.60300283305921,6.96933071235891e-12,0.13272,-0.804293035737347,4.37069924733056e-10,6.77252830693846e-12,-2.60300283142857,0.0593080451291303,-0.059308044739771
1.49,4.37069924733056e-10,9.73848948841598e-09,-2.60300283305921,6.96933071235891e-12,0.13272,-0.804293035737347,4.37069924733056e-10,6.77252830693846e-12,-2.60300283142857,0.0593080451291303,-0.059308044739771
1.491,4.46854187258206e-10,9.78426252514993e-09,-2.61350920161792,7.30857513045664e-12,0.13272,-0.807539362993738,4.46854187258206e-10,7.12713799828246e-12,-2.61350919993784,0.0594240206233997,-0.0594240202330706
1.492,4.5668474755249e-10,9.83056029420418e-09,-2.62403607112351,7.64610126210059e-12,0.13272,-0.810792024768323,4.5668474755249e-10,7.48225684262873e-12,-2.6240360693939,0.0595399739792131,-0.0595399735879163
1.493,4.66563816115806e-10,9.8790685626989e-09,-2.63458343766259,7.98196151041688e-12,0.13272,-0.814051019851907,4.66563816115806e-10,7.83793712877526e-12,-2.63458343588335,0.0596559052008376,-0.0596559048084935
1.494,4.76489501859843e-10,9.92568574460845e-09,-2.64515129732239,8.31598304978306e-12,0.13272,-0.817316347035521,4.76489501859843e-10,8.19399213952202e-12,-2.64515129549346,0.0597718142923991,-0.0597718138991264
1.495,4.86469962695616e-10,9.98046083734906e-09,-2.65573964619116,8.64854342952882e-12,0.13272,-0.820588005110422,4.86469962695616e-10,8.55082208094512e-12,-2.65573964431241,0.0598877012583647,-0.0598877008637969
1.496,4.96488800135301e-10,1.00188374292939e-08,-2.66634848035773,8.97867989128857e-12,0.13272,-0.823865992868141,4.96488800135301e-10,8.90738749754723e-12,-2.66634847842918,0.0600035661023649,-0.0600035657073213
1.497,5.06589703621574e-10,1.01009034944729e-08,-2.67697779591174,9.30869779639126e-12,0.13272,-0.827150309100376,5.06589703621574e-10,9.26618153905617e-12,-2.67697779393298,0.060119408830073,-0.0601194084324719
1.498,5.1666939069718e-10,1.0079687036333e-08,-2.68762758894297,9.63293566322249e-12,0.13272,-0.830440952599105,5.1666939069718e-10,9.62102786990773e-12,-2.6876275869147,0.0602352294421629,-0.0602352290470189
1.499,5.2698413500287e-10,1.03147443721272e-08,-2.69829785554385,9.96515112484825e-12,0.13272,-0.833737922156526,5.2698413500287e-10,9.9870210967708e-12,-2.69829785346406,0.0603510279515356,-0.0603510275465034
1.5,5.36910625455173e-10,9.92649062585704e-09,-2.70898859180288,1.02717681340893e-11,0.13272,-0.837041216565117,5.36910625455173e-10,1.03270627374825e-11,-2.70898858967615,0.0604668043411779,-0.0604668039563795
1.5,5.36910625455173e-10,9.92649062585704e-09,-2.70898859180288,1.02717681340893e-11,0.13272,-0.837041216565117,5.36910625455173e-10,1.03270627374825e-11,-2.70898858967615,0.0604668043411779,-0.0604668039563795
1.501,5.47977373936305e-10,1.10667484901285e-08,-2.7196997938208,1.06345863379571e-11,0.13272,-0.840350834617456,5.47977373936305e-10,1.07321216130291e-11,-2.71969979163564,0.0605825586672543,-0.0605825582289216
1.502,5.56448712054541e-10,8.47133925584884e-09,-2.73043145767122,1.08541868984319e-11,0.13272,-0.843666775106464,5.56448712054541e-10,1.09789266984924e-11,-2.73043145545539,0.0606982908069067,-0.0606982904954255
1.503,5.71467219396948e-10,1.50185089031765e-08,-2.74118357949609,1.14165696135056e-11,0.13272,-0.84698903682523,5.71467219396948e-10,1.16152391277677e-11,-2.74118357718154,0.0608140010752325,-0.0608140004492294
1.504,5.86661517906662e-10,1.51942983981246e-08,-2.75195615534682,1.19822856520304e-11,0.13272,-0.850317618567131,5.86661517906662e-10,1.22596254449331e-11,-2.75195615295227,0.0609296891019298,-0.0609296884690694
1.505,6.01633258457506e-10,1.49717404824861e-08,-2.76274918132788,1.25302065451611e-11,0.13272,-0.853652519125705,6.01633258457506e-10,1.28879551399259e-11,-2.76274917885436,0.0610453550354099,-0.0610453544149672
1.506,6.17362327087871e-10,1.57290687534144e-08,-2.77356265353974,1.31117340690246e-11,0.13272,-0.856993737294834,6.17362327087871e-10,1.35593400450578e-11,-2.77356265097984,0.0611609989131586,-0.0611609982578676
1.507,6.31456936200874e-10,1.4094609197788e-08,-2.78439656806682,1.36015262633828e-11,0.13272,-0.860341271868487,6.31456936200874e-10,1.41286517404985e-11,-2.78439656543828,0.0612766206579991,-0.0612766200833771
1.508,6.49773767440393e-10,1.83168299787868e-08,-2.79525092103765,1.43049531129469e-11,0.13272,-0.863695121640966,6.49773767440393e-10,1.49518591020389e-11,-2.79525091829669,0.0613922204732623,-0.0613922196965924
1.509,6.68164078231809e-10,1.83903108081641e-08,-2.80612570852171,1.50051232540518e-11,0.13272,-0.867055285406269,6.68164078231809e-10,1.57768466703788e-11,-2.80612570567961,0.0615077981130419,-0.0615077973346844
1.51,6.86610706690365e-10,1.84466284537711e-08,-2.81702092662525,1.57010199828211e-11,0.13272,-0.870421761959611,6.86610706690365e-10,1.66024165737088e-11,-2.81702092368251,0.0616233536984533,-0.061623352919288
1.51,6.86610706690365e-10,1.84466284537711e-08,-2.81702092662525,1.57010199828211e-11,0.13272,-0.870421761959611,6.86610706690365e-10,1.66024165737088e-11,-2.81702092368251,0.0616233536984533,-0.061623352919288
1.511,7.05162189662699e-10,1.85514829815184e-08,-2.8279365714488,1.63950207852341e-11,0.13272,-0.873794550095949,7.05162189662699e-10,1.74313950316484e-11,-2.82793656840474,0.0617388872267118,-0.061738886444447
1.512,7.23706364056227e-10,1.8544174369691e-08,-2.83887263909239,1.70812426431381e-11,0.13272,-0.877173648610476,7.23706364056227e-10,1.82567316007862e-11,-2.83887263594773,0.0618543986981491,-0.0618543979182514
